Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
1,Don Shula+,33,1963,1995,490,328,156,6,0.677,172,19.0,36.0,19.0,17.0,0.528,1.8,1,2.0,2.0,6.0
2,George Halas+,40,1920,1967,497,318,148,31,0.682,170,8.0,9.0,6.0,3.0,0.667,2.7,1,6.0,0.0,0.0
3,Bill Belichick,29,1991,2023,467,302,165,0,0.647,137,19.0,44.0,31.0,13.0,0.705,1.8,1,6.0,6.0,9.0
4,Andy Reid,25,1999,2023,403,258,144,1,0.641,114,19.0,42.0,26.0,16.0,0.619,1.8,1,3.0,3.0,5.0
5,Tom Landry+,29,1960,1988,418,250,162,6,0.607,88,18.0,36.0,20.0,16.0,0.556,2.4,1,2.0,2.0,5.0
6,Curly Lambeau+,33,1921,1953,380,226,132,22,0.631,94,5.0,5.0,3.0,2.0,0.6,3.2,1,6.0,0.0,0.0
7,Paul Brown+,25,1946,1975,326,213,104,9,0.672,109,15.0,17.0,9.0,8.0,0.529,2.0,1,7.0,0.0,0.0
8,Marty Schottenheimer,21,1984,2006,327,200,126,1,0.613,74,13.0,18.0,5.0,13.0,0.278,2.0,1,0.0,0.0,0.0
9,Chuck Noll+,23,1969,1991,342,193,148,1,0.566,45,12.0,24.0,16.0,8.0,0.667,2.1,1,4.0,4.0,4.0
10,Dan Reeves,23,1981,2003,357,190,165,2,0.535,25,9.0,20.0,11.0,9.0,0.55,2.7,1,0.0,0.0,4.0
11,Chuck Knox,22,1973,1994,334,186,147,1,0.558,39,11.0,18.0,7.0,11.0,0.389,2.6,1,0.0,0.0,0.0
12,Jeff Fisher,22,1994,2016,339,173,165,1,0.512,8,6.0,11.0,5.0,6.0,0.455,2.8,1,0.0,0.0,1.0
13,Mike Tomlin,17,2007,2023,275,173,100,2,0.633,73,11.0,18.0,8.0,10.0,0.444,1.8,1,1.0,1.0,2.0
14,Bill Parcells+,19,1983,2006,303,172,130,1,0.569,42,10.0,19.0,11.0,8.0,0.579,2.5,1,2.0,2.0,3.0
15,Pete Carroll,18,1994,2023,291,170,120,1,0.586,50,12.0,22.0,11.0,11.0,0.5,2.3,1,1.0,1.0,2.0
16,Tom Coughlin,20,1995,2015,320,170,150,0,0.531,20,9.0,19.0,12.0,7.0,0.632,2.5,1,2.0,2.0,2.0
17,Mike Shanahan,20,1988,2013,308,170,138,0,0.552,32,8.0,14.0,8.0,6.0,0.571,2.6,1,2.0,2.0,2.0
18,Mike McCarthy,17,2006,2023,271,167,102,2,0.62,65,12.0,22.0,11.0,11.0,0.5,1.8,1,1.0,1.0,1.0
19,Mike Holmgren,17,1992,2008,272,161,111,0,0.592,50,12.0,24.0,13.0,11.0,0.542,1.8,1,1.0,1.0,3.0
20,John Harbaugh,16,2008,2023,259,160,99,0,0.618,61,11.0,22.0,12.0,10.0,0.545,2.0,1,1.0,1.0,1.0
21,Sean Payton,16,2006,2023,258,160,98,0,0.62,62,9.0,17.0,9.0,8.0,0.529,1.9,1,1.0,1.0,1.0
22,Bud Grant+,18,1967,1985,259,158,96,5,0.621,62,12.0,22.0,10.0,12.0,0.455,1.9,1,0.0,0.0,4.0
23,Joe Gibbs+,16,1981,2007,248,154,94,0,0.621,60,10.0,24.0,17.0,7.0,0.708,2.4,1,3.0,3.0,4.0
24,Steve Owen+,24,1930,1953,270,153,100,17,0.605,53,10.0,10.0,2.0,8.0,0.2,2.3,1,2.0,0.0,0.0
25,Bill Cowher+,15,1992,2006,240,149,90,1,0.623,59,10.0,21.0,12.0,9.0,0.571,1.9,1,1.0,1.0,2.0
26,Marv Levy+,17,1978,1997,255,143,112,0,0.561,31,8.0,19.0,11.0,8.0,0.579,2.7,1,0.0,0.0,4.0
27,Tony Dungy+,13,1996,2008,208,139,69,0,0.668,70,11.0,19.0,9.0,10.0,0.474,1.8,1,1.0,1.0,1.0
28,John Fox,16,2002,2017,256,133,123,0,0.52,10,7.0,15.0,8.0,7.0,0.533,2.4,1,0.0,0.0,2.0
29,Marvin Lewis,16,2003,2018,256,131,122,3,0.518,9,7.0,7.0,0.0,7.0,0.0,2.4,1,0.0,0.0,0.0
30,Hank Stram+,17,1960,1977,238,131,97,10,0.574,34,5.0,8.0,5.0,3.0,0.625,2.2,1,2.0,1.0,2.0
31,Weeb Ewbank+,20,1954,1973,266,130,129,7,0.502,1,4.0,5.0,4.0,1.0,0.8,3.0,1,3.0,1.0,1.0
32,Jim Mora,15,1986,2001,231,125,106,0,0.541,19,6.0,6.0,0.0,6.0,0.0,2.9,1,0.0,0.0,0.0
33,Sid Gillman+,18,1955,1974,228,122,99,7,0.552,23,6.0,6.0,1.0,5.0,0.167,2.6,1,1.0,0.0,0.0
34,Mike Ditka+,14,1982,1999,216,121,95,0,0.56,26,7.0,12.0,6.0,6.0,0.5,2.6,1,1.0,1.0,1.0
35,Dick Vermeil+,15,1976,2005,229,120,109,0,0.524,11,6.0,11.0,6.0,5.0,0.545,3.0,1,1.0,1.0,2.0
36,Jon Gruden,15,1998,2021,229,117,112,0,0.511,5,6.0,10.0,5.0,5.0,0.5,2.4,1,1.0,1.0,1.0
37,George Allen+,12,1966,1977,168,116,47,5,0.712,69,7.0,9.0,2.0,7.0,0.222,1.9,1,0.0,0.0,1.0
38,George Seifert,11,1989,2001,176,114,62,0,0.648,52,7.0,15.0,10.0,5.0,0.667,1.9,1,2.0,2.0,2.0
39,Norv Turner,15,1994,2012,237,114,122,1,0.483,-8,4.0,8.0,4.0,4.0,0.5,2.5,1,0.0,0.0,0.0
40,Dennis Green,13,1992,2006,207,113,94,0,0.546,19,8.0,12.0,4.0,8.0,0.333,2.5,1,0.0,0.0,0.0
41,Don Coryell+,14,1973,1986,195,111,83,1,0.572,28,6.0,9.0,3.0,6.0,0.333,2.8,1,0.0,0.0,0.0
42,Buddy Parker,15,1949,1964,188,104,75,9,0.581,29,3.0,4.0,3.0,1.0,0.75,3.2,1,2.0,0.0,0.0
43,John Madden+,10,1969,1978,142,103,32,7,0.759,71,8.0,16.0,9.0,7.0,0.563,1.3,1,1.0,1.0,1.0
44,Ron Rivera,13,2011,2023,207,102,103,2,0.498,-1,5.0,8.0,3.0,5.0,0.375,2.5,1,0.0,0.0,1.0
45,Tom Flores+,12,1979,1994,184,97,87,0,0.527,10,5.0,11.0,8.0,3.0,0.727,3.3,1,2.0,2.0,2.0
46,Vince Lombardi+,10,1959,1969,136,96,34,6,0.738,62,6.0,10.0,9.0,1.0,0.9,1.5,1,5.0,2.0,2.0
47,Lou Saban,16,1960,1976,201,95,99,7,0.49,-4,4.0,4.0,2.0,2.0,0.5,3.0,1,2.0,0.0,0.0
48,Jack Del Rio,12,2003,2017,187,93,94,0,0.497,-1,3.0,4.0,1.0,3.0,0.25,2.8,2,0.0,0.0,0.0
49,Lovie Smith,12,2004,2022,193,92,100,1,0.479,-8,3.0,6.0,3.0,3.0,0.5,2.8,1,0.0,0.0,1.0
